word,category
casual,colour
define,colour
unions,colour
cruise,colour
stocks,colour
margin,colour
counts,colour
allies,colour
spaces,colour
gifs,fruit_vegetable
limo,fruit_vegetable
begs,fruit_vegetable
dues,fruit_vegetable
weld,fruit_vegetable
wick,fruit_vegetable
burr,fruit_vegetable
dole,fruit_vegetable
malt,fruit_vegetable
bladder,flower
pledged,flower
ballots,flower
aquatic,flower
pillars,flower
thicker,flower
directs,flower
rebuilt,flower
festive,flower
code,colour
vote,colour
bill,colour
hour,colour
east,colour
lord,colour
felt,colour
born,colour
save,colour
affixed,fruit_vegetable
adrenal,fruit_vegetable
anthems,fruit_vegetable
affirms,fruit_vegetable
arbiter,fruit_vegetable
accuser,fruit_vegetable
admires,fruit_vegetable
atrophy,fruit_vegetable
anglers,fruit_vegetable
blotchy,flower
blights,flower
bionics,flower
briefer,flower
botnets,flower
bimodal,flower
birders,flower
bashers,flower
bemoans,flower
vids,colour
bran,colour
vape,colour
shun,colour
sped,colour
rigs,colour
hens,colour
moot,colour
tote,colour
typing,fruit_vegetable
temper,fruit_vegetable
marina,fruit_vegetable
legion,fruit_vegetable
tagged,fruit_vegetable
peanut,fruit_vegetable
naming,fruit_vegetable
ribbon,fruit_vegetable
coupon,fruit_vegetable
licks,flower
ferns,flower
fiend,flower
stoic,flower
rages,flower
rower,flower
vases,flower
loner,flower
riffs,flower
plots,colour
notch,colour
intro,colour
excel,colour
promo,colour
posed,colour
coats,colour
atoms,colour
turbo,colour
bunks,fruit_vegetable
bylaw,fruit_vegetable
gusty,fruit_vegetable
sowed,fruit_vegetable
rears,fruit_vegetable
gizmo,fruit_vegetable
tucks,fruit_vegetable
guano,fruit_vegetable
douse,fruit_vegetable
porcine,flower
pivoted,flower
plotter,flower
pierces,flower
preform,flower
paddies,flower
parfait,flower
precast,flower
pitfall,flower
revel,colour
leaky,colour
capri,colour
laces,colour
lumen,colour
ester,colour
masse,colour
brine,colour
sully,colour
avenues,fruit_vegetable
atheism,fruit_vegetable
addicts,fruit_vegetable
anomaly,fruit_vegetable
accuses,fruit_vegetable
auditor,fruit_vegetable
abolish,fruit_vegetable
attends,fruit_vegetable
alarmed,fruit_vegetable
rebate,flower
pebble,flower
phased,flower
oilers,flower
occult,flower
opting,flower
uptake,flower
causal,flower
opioid,flower
aria,colour
diva,colour
aces,colour
ache,colour
sire,colour
apes,colour
ammo,colour
riff,colour
oats,colour
wallet,fruit_vegetable
purely,fruit_vegetable
chains,fruit_vegetable
strain,fruit_vegetable
poison,fruit_vegetable
statue,fruit_vegetable
prints,fruit_vegetable
dining,fruit_vegetable
traded,fruit_vegetable
tempt,flower
taker,flower
taser,flower
foggy,flower
palsy,flower
tonne,flower
tacky,flower
gator,flower
zoned,flower
twenty,colour
survey,colour
useful,colour
golden,colour
honest,colour
museum,colour
models,colour
native,colour
stated,colour
crux,fruit_vegetable
blot,fruit_vegetable
boos,fruit_vegetable
hoof,fruit_vegetable
yoke,fruit_vegetable
brim,fruit_vegetable
blob,fruit_vegetable
gait,fruit_vegetable
brie,fruit_vegetable
